class,sex,age,survived,counts
1st,Male,Child,No,0
1st,Male,Child,Yes,5
1st,Male,Adult,No,118
1st,Male,Adult,Yes,57
1st,Female,Child,No,0
1st,Female,Child,Yes,1
1st,Female,Adult,No,4
1st,Female,Adult,Yes,140
2nd,Male,Child,No,0
2nd,Male,Child,Yes,11
2nd,Male,Adult,No,154
2nd,Male,Adult,Yes,14
2nd,Female,Child,No,0
2nd,Female,Child,Yes,13
2nd,Female,Adult,No,13
2nd,Female,Adult,Yes,80
3rd,Male,Child,No,35
3rd,Male,Child,Yes,13
3rd,Male,Adult,No,387
3rd,Male,Adult,Yes,75
3rd,Female,Child,No,17
3rd,Female,Child,Yes,14
3rd,Female,Adult,No,89
3rd,Female,Adult,Yes,76
Crew,Male,Child,No,0
Crew,Male,Child,Yes,0
Crew,Male,Adult,No,670
Crew,Male,Adult,Yes,192
Crew,Female,Child,No,0
Crew,Female,Child,Yes,0
Crew,Female,Adult,No,3
Crew,Female,Adult,Yes,20
